Edificio,IdAula,Piano,Oggetti
Macroarea di Lettere e Filosofia,Aula T20,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T21,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T23A,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T23B,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T25,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T26,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T27,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T28,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T29,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T30,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T31,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T32,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T33,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T34,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Aula T35,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Laboratorio Cartografico,0,Computer;Proiettore;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Laboratorio Cinema,0,Computer;Proiettore;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Piano 1 - Aula Dipartimentale,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Piano 2 - Aula Dipartimentale,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Piano 3 - Aula Dipartimentale,3,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Lettere e Filosofia,Piano 4 - Aula Dipartimentale,4,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula 003,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula Auditorio - CampuSX,0,Proiettore;Impianto Audio;Microfono;Poltrone;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula D502 - ForoItalico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula E,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula MA1 - ForoItalico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula MA2 - ForoItalico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula MA3 - ForoItalico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula MA4 - ForoItalico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula MA5 - ForoItalico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula MA6 - ForoItalico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula P10,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula PM1 - Foro Italico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula PM2 - ForoItalico,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Dipartimento di Giurisprudenza,Aula T2,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA 11,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA 12,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA 5,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA 8,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA 9,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA A1,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA A2,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA A3,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA A4,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B10,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B11,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B12,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B13,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B14,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B3,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B5,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B6,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B7,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B8,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA B9,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C10,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C12,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C3,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C4,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C5,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C6,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C7,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C8,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA C9,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA DISEGNO 1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,AULA DISEGNO 2,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula 1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula 10,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula 2,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula 3,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula 4,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula 6,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula 7,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula Archimede,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula B1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula B15,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula B16,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula B2,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula B4,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula C1,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula C11,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula Convegni,0,Proiettore;Impianto Audio;Microfono;Poltrone;Prese;Climatizzatore
Macroarea di Ingegneria,Aula Galileo,3,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula Leonardo,3,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Aula Pitagora,3,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,Lab. Elettronica,1,Computer;Proiettore;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,R2,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Macroarea di Ingegneria,R3,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 1,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 1- PP1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 1- PP2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 11,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 13,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 14,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 15,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 16,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 18,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 19,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 2,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 2 - PP2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 2- PP1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 20,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 21,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 22,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 27,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 28,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 29,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 29A,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 3,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 3 - PP2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 3A,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 4 - PP1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 4 - PP2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 5 - PP1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 5 - PP2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 6 - PP2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 6A (Sogene),0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 7 (Sogene),0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 7 - PP2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 8 (sogene),0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 8 - PP1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 8 - PP2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 8A,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula 9,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula G2A,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula G2B,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula G2C - Sogene,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula Gismondi(Aula Magna) - Sogene,0,Proiettore;Impianto Audio;Microfono;Poltrone;Prese;Climatizzatore
MM.FF.NN,Aula L3,0,Computer;Proiettore;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula L5,0,Computer;Proiettore;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T1 (Sogene),0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T2,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T4 - Sogene,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T5,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T5 Bis,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T6,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T6 Bis,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T7,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T7 Bis,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T8,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
MM.FF.NN,Aula T8 Bis,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 1A2,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 1A3/4,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 1A5,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 1A6,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 1B3,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 1B4,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 1B5,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 1B6,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 2A1,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 2A2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 2A3,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 2A4,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 2B1,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 2B3,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula 2B4,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula Bovet,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula D022,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula D10,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula D15,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula D16,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula D19a,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula D19b,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula Dulbecco,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula Fleming,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula Golgi,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula Luria,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Medicina e Chiururgia,Aula Montalcini,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Campus X,Aula Auditorium CampusX,0,Proiettore;Impianto Audio;Microfono;Poltrone;Prese;Climatizzatore
Cinecittà,Aula cinecittà,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula F,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula I 2,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula I 4,0,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula Magna,0,Proiettore;Impianto Audio;Microfono;Poltrone;Prese;Climatizzatore
Facoltà di Economia,Aula P1,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P11,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P12,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P2,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P3,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P4,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P57,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P6,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P8,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula P9,1,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S10,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S11,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S12,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S2,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S4,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S5,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S6,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S7,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S8,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
Facoltà di Economia,Aula S9,2,Proiettore;Impianto Audio;Banchi;Sedie;Lavagna;Prese;Climatizzatore
